프로젝트,모블록번호,블록번호,stage,기능,a2,모듈,취부장_total,취부장_butt,취부장_fillet,용접장_total,용접장_butt,용접장_fillet,작업량,작업량_단위,심출_계량,취부_계량,용접_계량,사상_계량,기타_계량,total_계량,심출_기준,취부_기준,용접_기준,사상_기준,기타_기준,total_기준,원본파일명
SN2424,Q46XN,Q467X,30,D,HQ467XSF0300,OAPIXU,764.5,369.7,394.8,270.9,187.1,83.8,77,M,27.28,54.56,133.92,24.8,7.44,248,21.82,43.65,107.14,19.84,5.95,198.4,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q467X,30,D,HQ467XSF0300,ZHAZQ,736.1,385.0,351.1,418.5,215.2,203.3,57,M,85.36,170.72,419.04,77.6,23.28,776,68.29,136.58,335.23,62.08,18.62,620.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q467X,30,D,HQ467XSF0300,WSHCWJV,478.0,134.3,343.7,494.9,188.0,306.9,15,EA,96.03,192.06,471.42,87.3,26.19,873,76.82,153.65,377.14,69.84,20.95,698.4,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q467X,40,D,HQ467XSF0400,OKPWT,669.8,240.5,429.3,562.5,419.0,143.5,91,LOT,87.89,175.78,431.46,79.9,23.97,799,70.31,140.62,345.17,63.92,19.18,639.2,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q467X,40,D,HQ467XSF0400,WSHCWJV,347.9,239.8,108.1,452.8,398.1,54.7,58,LOT,100.76,201.52,494.64,91.6,27.48,916,80.61,161.22,395.71,73.28,21.98,732.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q467X,40,D,HQ467XSF0400,OAPIXU,756.1,321.4,434.7,389.6,323.2,66.4,82,TON,70.84,141.68,347.76,64.4,19.32,644,56.67,113.34,278.21,51.52,15.46,515.2,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q467X,40,D,HQ467XSF0400,ZHAZQ,655.2,432.5,222.7,810.5,417.2,393.3,35,TON,48.73,97.46,239.22,44.3,13.29,443,38.98,77.97,191.38,35.44,10.63,354.4,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q461I,30,D,HQ461ISF0300,ZHAZQ,629.2,343.7,285.5,313.0,128.0,185.0,24,TON,88.66,177.32,435.24,80.6,24.18,806,70.93,141.86,348.19,64.48,19.34,644.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q461I,30,D,HQ461ISF0300,OKPWT,588.1,269.0,319.1,437.5,382.7,54.8,68,EA,22.0,44.0,108.0,20.0,6.0,200,17.6,35.2,86.4,16.0,4.8,160.0,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q461I,30,D,HQ461ISF0300,OAPIXU,514.8,324.2,190.6,490.9,340.1,150.8,4,EA,14.74,29.48,72.36,13.4,4.02,134,11.79,23.58,57.89,10.72,3.22,107.2,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q461I,30,D,HQ461ISF0300,UKTVHS,360.5,72.8,287.7,544.3,407.6,136.7,82,EA,78.43,156.86,385.02,71.3,21.39,713,62.74,125.49,308.02,57.04,17.11,570.4,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q461I,40,D,HQ461ISF0400,UKTVHS,722.6,312.6,410.0,713.3,276.4,436.9,90,M,23.43,46.86,115.02,21.3,6.39,213,18.74,37.49,92.02,17.04,5.11,170.4,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q461I,40,D,HQ461ISF0400,WSHCWJV,388.1,151.3,236.8,730.0,424.5,305.5,99,LOT,42.13,84.26,206.82,38.3,11.49,383,33.7,67.41,165.46,30.64,9.19,306.4,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q461I,40,D,HQ461ISF0400,ZHAZQ,643.9,326.9,317.0,510.9,358.0,152.9,10,TON,98.89,197.78,485.46,89.9,26.97,899,79.11,158.22,388.37,71.92,21.58,719.2,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q461I,40,D,HQ461ISF0400,OKPWT,563.9,360.8,203.1,257.1,183.1,74.0,34,M,102.52,205.04,503.28,93.2,27.96,932,82.02,164.03,402.62,74.56,22.37,745.6,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q461I,40,D,HQ461ISF0400,OAPIXU,472.9,226.2,246.7,715.5,421.4,294.1,83,LOT,31.02,62.04,152.28,28.2,8.46,282,24.82,49.63,121.82,22.56,6.77,225.6,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q464W,30,D,HQ464WSF0300,OAPIXU,751.2,415.0,336.2,170.5,91.3,79.2,94,TON,75.35,150.7,369.9,68.5,20.55,685,60.28,120.56,295.92,54.8,16.44,548.0,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q464W,30,D,HQ464WSF0300,OKPWT,418.4,360.9,57.5,560.2,249.1,311.1,5,LOT,11.0,22.0,54.0,10.0,3.0,100,8.8,17.6,43.2,8.0,2.4,80.0,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q464W,30,D,HQ464WSF0300,UKTVHS,486.6,156.6,330.0,691.7,411.8,279.9,91,LOT,68.97,137.94,338.58,62.7,18.81,627,55.18,110.35,270.86,50.16,15.05,501.6,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q464W,30,D,HQ464WSF0300,ZHAZQ,452.9,241.3,211.6,716.0,341.1,374.9,70,M,18.81,37.62,92.34,17.1,5.13,171,15.05,30.1,73.87,13.68,4.1,136.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q464W,40,D,HQ464WSF0400,OKPWT,354.5,183.4,171.1,520.9,72.1,448.8,12,TON,83.82,167.64,411.48,76.2,22.86,762,67.06,134.11,329.18,60.96,18.29,609.6,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q464W,40,D,HQ464WSF0400,WSHCWJV,698.3,263.9,434.4,316.1,82.2,233.9,38,M,97.24,194.48,477.36,88.4,26.52,884,77.79,155.58,381.89,70.72,21.22,707.2,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q464W,40,D,HQ464WSF0400,UKTVHS,186.3,120.6,65.7,330.1,203.7,126.4,50,EA,89.32,178.64,438.48,81.2,24.36,812,71.46,142.91,350.78,64.96,19.49,649.6,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q464W,40,D,HQ464WSF0400,OAPIXU,495.9,302.2,193.7,387.0,83.9,303.1,25,M,93.72,187.44,460.08,85.2,25.56,852,74.98,149.95,368.06,68.16,20.45,681.6,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q463I,30,D,HQ463ISF0300,OAPIXU,320.9,245.7,75.2,439.3,266.2,173.1,58,EA,71.06,142.12,348.84,64.6,19.38,646,56.85,113.7,279.07,51.68,15.5,516.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q463I,30,D,HQ463ISF0300,UKTVHS,137.2,64.8,72.4,432.2,365.1,67.1,28,LOT,24.31,48.62,119.34,22.1,6.63,221,19.45,38.9,95.47,17.68,5.3,176.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q463I,30,D,HQ463ISF0300,ZHAZQ,824.1,426.0,398.1,611.0,264.6,346.4,10,EA,37.18,74.36,182.52,33.8,10.14,338,29.74,59.49,146.02,27.04,8.11,270.4,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q463I,30,D,HQ463ISF0300,OKPWT,589.8,344.2,245.6,470.5,57.6,412.9,6,M,80.63,161.26,395.82,73.3,21.99,733,64.5,129.01,316.66,58.64,17.59,586.4,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q463I,40,D,HQ463ISF0400,OAPIXU,467.2,378.3,88.9,678.6,294.5,384.1,14,EA,18.15,36.3,89.1,16.5,4.95,165,14.52,29.04,71.28,13.2,3.96,132.0,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q463I,40,D,HQ463ISF0400,UKTVHS,618.6,248.9,369.7,510.0,138.2,371.8,44,LOT,58.96,117.92,289.44,53.6,16.08,536,47.17,94.34,231.55,42.88,12.86,428.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q463I,40,D,HQ463ISF0400,OKPWT,620.0,179.7,440.3,385.3,280.4,104.9,28,EA,105.16,210.32,516.24,95.6,28.68,956,84.13,168.26,412.99,76.48,22.94,764.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q463I,40,D,HQ463ISF0400,ZHAZQ,471.4,287.2,184.2,204.8,98.3,106.5,22,TON,57.75,115.5,283.5,52.5,15.75,525,46.2,92.4,226.8,42.0,12.6,420.0,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q463I,40,D,HQ463ISF0400,WSHCWJV,496.9,271.4,225.5,486.6,420.3,66.3,81,LOT,22.22,44.44,109.08,20.2,6.06,202,17.78,35.55,87.26,16.16,4.85,161.6,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,50,D,HQ46XNSF0500,UKTVHS,473.4,52.9,420.5,620.2,332.7,287.5,54,LOT,42.9,85.8,210.6,39.0,11.7,390,34.32,68.64,168.48,31.2,9.36,312.0,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,50,D,HQ46XNSF0500,OKPWT,459.4,326.9,132.5,565.1,305.9,259.2,31,M,57.31,114.62,281.34,52.1,15.63,521,45.85,91.7,225.07,41.68,12.5,416.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,50,D,HQ46XNSF0500,WSHCWJV,359.2,294.2,65.0,372.0,122.0,250.0,81,TON,20.9,41.8,102.6,19.0,5.7,190,16.72,33.44,82.08,15.2,4.56,152.0,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,50,D,HQ46XNSF0500,ZHAZQ,240.9,189.1,51.8,241.3,144.3,97.0,13,TON,70.62,141.24,346.68,64.2,19.26,642,56.5,112.99,277.34,51.36,15.41,513.6,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,60,D,HQ46XNSF0600,WSHCWJV,166.3,71.2,95.1,497.2,109.7,387.5,64,M,64.35,128.7,315.9,58.5,17.55,585,51.48,102.96,252.72,46.8,14.04,468.0,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,60,D,HQ46XNSF0600,OAPIXU,533.0,113.9,419.1,267.3,71.6,195.7,56,TON,34.54,69.08,169.56,31.4,9.42,314,27.63,55.26,135.65,25.12,7.54,251.2,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,60,D,HQ46XNSF0600,OKPWT,555.8,183.7,372.1,420.7,353.4,67.3,7,M,94.38,188.76,463.32,85.8,25.74,858,75.5,151.01,370.66,68.64,20.59,686.4,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,60,D,HQ46XNSF0600,UKTVHS,174.8,113.2,61.6,334.3,256.0,78.3,93,LOT,37.4,74.8,183.6,34.0,10.2,340,29.92,59.84,146.88,27.2,8.16,272.0,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,60,D,HQ46XNSF0600,ZHAZQ,467.5,287.1,180.4,450.2,129.5,320.7,30,EA,47.63,95.26,233.82,43.3,12.99,433,38.1,76.21,187.06,34.64,10.39,346.4,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,70,D,HQ46XNSF0700,OAPIXU,338.5,200.2,138.3,482.2,238.4,243.8,19,M,60.06,120.12,294.84,54.6,16.38,546,48.05,96.1,235.87,43.68,13.1,436.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,70,D,HQ46XNSF0700,UKTVHS,653.2,421.2,232.0,309.5,204.9,104.6,25,TON,92.07,184.14,451.98,83.7,25.11,837,73.66,147.31,361.58,66.96,20.09,669.6,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,70,D,HQ46XNSF0700,OKPWT,571.1,440.2,130.9,427.8,100.9,326.9,36,M,17.71,35.42,86.94,16.1,4.83,161,14.17,28.34,69.55,12.88,3.86,128.8,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,70,D,HQ46XNSF0700,WSHCWJV,330.6,94.4,236.2,571.4,217.3,354.1,38,M,35.75,71.5,175.5,32.5,9.75,325,28.6,57.2,140.4,26.0,7.8,260.0,SN2424_Q46XN_dummy.xlsx
SN2424,Q46XN,Q46XN,70,D,HQ46XNSF0700,ZHAZQ,671.0,365.8,305.2,412.6,294.6,118.0,30,EA,73.26,146.52,359.64,66.6,19.98,666,58.61,117.22,287.71,53.28,15.98,532.8,SN2424_Q46XN_dummy.xlsx
SN2424,K58FM,K580L,30,D,HK580LSF0300,MHSWT,416.2,344.3,71.9,748.0,428.1,319.9,15,LOT,16.72,33.44,82.08,15.2,4.56,152,13.38,26.75,65.66,12.16,3.65,121.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580L,30,D,HK580LSF0300,YXXKBZT,493.9,196.2,297.7,316.3,196.2,120.1,91,EA,73.92,147.84,362.88,67.2,20.16,672,59.14,118.27,290.3,53.76,16.13,537.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580L,30,D,HK580LSF0300,ANMUVLG,633.7,274.3,359.4,289.4,105.4,184.0,15,LOT,71.72,143.44,352.08,65.2,19.56,652,57.38,114.75,281.66,52.16,15.65,521.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580L,30,D,HK580LSF0300,ALWGLF,695.9,345.0,350.9,729.6,398.5,331.1,96,M,95.81,191.62,470.34,87.1,26.13,871,76.65,153.3,376.27,69.68,20.9,696.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580L,30,D,HK580LSF0300,TSKFJGZ,587.4,178.2,409.2,470.6,251.4,219.2,9,TON,17.05,34.1,83.7,15.5,4.65,155,13.64,27.28,66.96,12.4,3.72,124.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580L,40,D,HK580LSF0400,TSKFJGZ,655.2,333.9,321.3,430.0,263.1,166.9,48,EA,80.85,161.7,396.9,73.5,22.05,735,64.68,129.36,317.52,58.8,17.64,588.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580L,40,D,HK580LSF0400,MHSWT,528.9,125.3,403.6,291.2,84.9,206.3,37,EA,31.13,62.26,152.82,28.3,8.49,283,24.9,49.81,122.26,22.64,6.79,226.4,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580L,40,D,HK580LSF0400,ANMUVLG,254.1,93.7,160.4,577.3,328.8,248.5,27,EA,109.45,218.9,537.3,99.5,29.85,995,87.56,175.12,429.84,79.6,23.88,796.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580L,40,D,HK580LSF0400,ALWGLF,605.1,167.3,437.8,369.4,266.6,102.8,54,LOT,50.05,100.1,245.7,45.5,13.65,455,40.04,80.08,196.56,36.4,10.92,364.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580L,40,D,HK580LSF0400,YXXKBZT,403.7,345.1,58.6,184.4,125.6,58.8,30,TON,101.31,202.62,497.34,92.1,27.63,921,81.05,162.1,397.87,73.68,22.1,736.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K587W,30,D,HK587WSF0300,MHSWT,616.0,287.3,328.7,614.9,386.8,228.1,73,M,45.21,90.42,221.94,41.1,12.33,411,36.17,72.34,177.55,32.88,9.86,328.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K587W,30,D,HK587WSF0300,ANMUVLG,581.9,409.3,172.6,506.4,365.7,140.7,37,EA,52.8,105.6,259.2,48.0,14.4,480,42.24,84.48,207.36,38.4,11.52,384.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K587W,30,D,HK587WSF0300,TSKFJGZ,273.1,109.3,163.8,730.0,432.5,297.5,92,TON,29.04,58.08,142.56,26.4,7.92,264,23.23,46.46,114.05,21.12,6.34,211.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K587W,30,D,HK587WSF0300,YXXKBZT,243.0,122.9,120.1,745.1,333.2,411.9,20,M,100.43,200.86,493.02,91.3,27.39,913,80.34,160.69,394.42,73.04,21.91,730.4,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K587W,30,D,HK587WSF0300,ALWGLF,211.7,145.2,66.5,277.3,176.7,100.6,48,M,40.26,80.52,197.64,36.6,10.98,366,32.21,64.42,158.11,29.28,8.78,292.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K587W,40,D,HK587WSF0400,MHSWT,550.4,441.2,109.2,669.6,229.4,440.2,39,EA,71.06,142.12,348.84,64.6,19.38,646,56.85,113.7,279.07,51.68,15.5,516.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K587W,40,D,HK587WSF0400,ALWGLF,630.0,418.2,211.8,358.0,249.8,108.2,41,M,62.59,125.18,307.26,56.9,17.07,569,50.07,100.14,245.81,45.52,13.66,455.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K587W,40,D,HK587WSF0400,ANMUVLG,397.1,51.7,345.4,622.7,440.2,182.5,38,LOT,90.42,180.84,443.88,82.2,24.66,822,72.34,144.67,355.1,65.76,19.73,657.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K587W,40,D,HK587WSF0400,YXXKBZT,846.2,408.4,437.8,799.3,351.7,447.6,19,LOT,86.02,172.04,422.28,78.2,23.46,782,68.82,137.63,337.82,62.56,18.77,625.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K584U,30,D,HK584USF0300,ALWGLF,383.9,173.2,210.7,614.8,386.4,228.4,42,EA,21.34,42.68,104.76,19.4,5.82,194,17.07,34.14,83.81,15.52,4.66,155.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K584U,30,D,HK584USF0300,TSKFJGZ,421.4,293.3,128.1,623.1,260.6,362.5,36,M,97.35,194.7,477.9,88.5,26.55,885,77.88,155.76,382.32,70.8,21.24,708.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K584U,30,D,HK584USF0300,MHSWT,324.4,59.0,265.4,546.8,228.2,318.6,66,LOT,20.79,41.58,102.06,18.9,5.67,189,16.63,33.26,81.65,15.12,4.54,151.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K584U,30,D,HK584USF0300,ANMUVLG,304.9,127.8,177.1,719.4,292.0,427.4,47,LOT,86.02,172.04,422.28,78.2,23.46,782,68.82,137.63,337.82,62.56,18.77,625.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K584U,30,D,HK584USF0300,YXXKBZT,500.7,109.2,391.5,397.0,197.9,199.1,45,TON,43.01,86.02,211.14,39.1,11.73,391,34.41,68.82,168.91,31.28,9.38,312.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K584U,40,D,HK584USF0400,TSKFJGZ,537.0,371.5,165.5,810.4,372.3,438.1,94,LOT,58.74,117.48,288.36,53.4,16.02,534,46.99,93.98,230.69,42.72,12.82,427.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K584U,40,D,HK584USF0400,ALWGLF,390.7,105.8,284.9,217.5,84.4,133.1,68,TON,64.46,128.92,316.44,58.6,17.58,586,51.57,103.14,253.15,46.88,14.06,468.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K584U,40,D,HK584USF0400,MHSWT,510.4,76.4,434.0,437.8,352.4,85.4,82,TON,57.09,114.18,280.26,51.9,15.57,519,45.67,91.34,224.21,41.52,12.46,415.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K584U,40,D,HK584USF0400,YXXKBZT,488.1,215.8,272.3,686.2,334.1,352.1,26,M,26.4,52.8,129.6,24.0,7.2,240,21.12,42.24,103.68,19.2,5.76,192.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K584U,40,D,HK584USF0400,ANMUVLG,548.7,382.9,165.8,625.3,246.2,379.1,75,TON,44.99,89.98,220.86,40.9,12.27,409,35.99,71.98,176.69,32.72,9.82,327.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K583M,30,D,HK583MSF0300,MHSWT,281.7,111.6,170.1,610.8,306.2,304.6,84,TON,24.97,49.94,122.58,22.7,6.81,227,19.98,39.95,98.06,18.16,5.45,181.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K583M,30,D,HK583MSF0300,TSKFJGZ,463.7,216.9,246.8,473.0,325.1,147.9,98,TON,24.42,48.84,119.88,22.2,6.66,222,19.54,39.07,95.9,17.76,5.33,177.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K583M,30,D,HK583MSF0300,ALWGLF,685.5,247.2,438.3,484.3,289.6,194.7,73,LOT,65.12,130.24,319.68,59.2,17.76,592,52.1,104.19,255.74,47.36,14.21,473.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K583M,30,D,HK583MSF0300,ANMUVLG,698.5,397.3,301.2,568.1,240.4,327.7,48,EA,24.42,48.84,119.88,22.2,6.66,222,19.54,39.07,95.9,17.76,5.33,177.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K583M,30,D,HK583MSF0300,YXXKBZT,503.2,388.1,115.1,251.3,73.4,177.9,89,M,109.89,219.78,539.46,99.9,29.97,999,87.91,175.82,431.57,79.92,23.98,799.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K583M,40,D,HK583MSF0400,YXXKBZT,736.6,304.5,432.1,236.2,69.5,166.7,10,M,82.94,165.88,407.16,75.4,22.62,754,66.35,132.7,325.73,60.32,18.1,603.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K583M,40,D,HK583MSF0400,ALWGLF,479.9,356.6,123.3,438.9,87.8,351.1,42,TON,72.16,144.32,354.24,65.6,19.68,656,57.73,115.46,283.39,52.48,15.74,524.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K583M,40,D,HK583MSF0400,MHSWT,704.7,380.7,324.0,494.6,170.4,324.2,47,EA,88.44,176.88,434.16,80.4,24.12,804,70.75,141.5,347.33,64.32,19.3,643.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K583M,40,D,HK583MSF0400,ANMUVLG,454.5,263.8,190.7,212.3,107.5,104.8,48,LOT,42.68,85.36,209.52,38.8,11.64,388,34.14,68.29,167.62,31.04,9.31,310.4,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K583M,40,D,HK583MSF0400,TSKFJGZ,633.2,214.8,418.4,252.4,115.2,137.2,29,M,67.65,135.3,332.1,61.5,18.45,615,54.12,108.24,265.68,49.2,14.76,492.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K586W,30,D,HK586WSF0300,MHSWT,199.1,96.6,102.5,246.3,57.0,189.3,47,M,88.77,177.54,435.78,80.7,24.21,807,71.02,142.03,348.62,64.56,19.37,645.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K586W,30,D,HK586WSF0300,ALWGLF,782.7,376.8,405.9,644.5,289.1,355.4,23,TON,49.5,99.0,243.0,45.0,13.5,450,39.6,79.2,194.4,36.0,10.8,360.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K586W,30,D,HK586WSF0300,YXXKBZT,437.3,61.5,375.8,531.6,138.9,392.7,89,M,26.95,53.9,132.3,24.5,7.35,245,21.56,43.12,105.84,19.6,5.88,196.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K586W,30,D,HK586WSF0300,ANMUVLG,306.9,173.0,133.9,662.3,442.4,219.9,15,EA,96.91,193.82,475.74,88.1,26.43,881,77.53,155.06,380.59,70.48,21.14,704.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K586W,30,D,HK586WSF0300,TSKFJGZ,301.2,57.5,243.7,351.0,222.5,128.5,85,EA,14.63,29.26,71.82,13.3,3.99,133,11.7,23.41,57.46,10.64,3.19,106.4,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K586W,40,D,HK586WSF0400,ALWGLF,668.8,317.0,351.8,780.9,362.9,418.0,76,M,34.1,68.2,167.4,31.0,9.3,310,27.28,54.56,133.92,24.8,7.44,248.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K586W,40,D,HK586WSF0400,ANMUVLG,314.5,123.9,190.6,474.6,86.3,388.3,75,TON,42.24,84.48,207.36,38.4,11.52,384,33.79,67.58,165.89,30.72,9.22,307.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K586W,40,D,HK586WSF0400,MHSWT,583.0,190.9,392.1,657.5,362.3,295.2,73,EA,67.87,135.74,333.18,61.7,18.51,617,54.3,108.59,266.54,49.36,14.81,493.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K586W,40,D,HK586WSF0400,TSKFJGZ,370.9,89.6,281.3,192.4,55.6,136.8,37,M,32.56,65.12,159.84,29.6,8.88,296,26.05,52.1,127.87,23.68,7.1,236.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K586W,40,D,HK586WSF0400,YXXKBZT,675.6,410.7,264.9,528.9,439.4,89.5,65,LOT,35.09,70.18,172.26,31.9,9.57,319,28.07,56.14,137.81,25.52,7.66,255.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580X,30,D,HK580XSF0300,MHSWT,826.4,383.9,442.5,475.3,219.6,255.7,15,TON,56.87,113.74,279.18,51.7,15.51,517,45.5,90.99,223.34,41.36,12.41,413.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580X,30,D,HK580XSF0300,YXXKBZT,193.5,99.4,94.1,459.3,104.4,354.9,37,EA,90.31,180.62,443.34,82.1,24.63,821,72.25,144.5,354.67,65.68,19.7,656.8,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580X,30,D,HK580XSF0300,TSKFJGZ,330.4,82.9,247.5,436.7,203.9,232.8,40,LOT,93.83,187.66,460.62,85.3,25.59,853,75.06,150.13,368.5,68.24,20.47,682.4,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580X,30,D,HK580XSF0300,ALWGLF,353.2,140.3,212.9,665.2,444.0,221.2,9,LOT,107.47,214.94,527.58,97.7,29.31,977,85.98,171.95,422.06,78.16,23.45,781.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580X,30,D,HK580XSF0300,ANMUVLG,622.6,425.6,197.0,374.8,55.1,319.7,14,LOT,86.68,173.36,425.52,78.8,23.64,788,69.34,138.69,340.42,63.04,18.91,630.4,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580X,40,D,HK580XSF0400,MHSWT,496.4,210.2,286.2,510.8,90.7,420.1,9,TON,29.92,59.84,146.88,27.2,8.16,272,23.94,47.87,117.5,21.76,6.53,217.6,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580X,40,D,HK580XSF0400,ALWGLF,625.6,440.1,185.5,734.3,288.0,446.3,30,LOT,24.75,49.5,121.5,22.5,6.75,225,19.8,39.6,97.2,18.0,5.4,180.0,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580X,40,D,HK580XSF0400,TSKFJGZ,501.5,340.1,161.4,618.2,335.4,282.8,97,LOT,41.69,83.38,204.66,37.9,11.37,379,33.35,66.7,163.73,30.32,9.1,303.2,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580X,40,D,HK580XSF0400,ANMUVLG,509.1,192.4,316.7,875.1,430.1,445.0,36,M,68.53,137.06,336.42,62.3,18.69,623,54.82,109.65,269.14,49.84,14.95,498.4,SN2424_K58FM_dummy.xlsx
SN2424,K58FM,K580X,40,D,HK580XSF0400,YXXKBZT,450.4,357.2,93.2,399.2,150.3,248.9,18,EA,81.73,163.46,401.22,74.3,22.29,743,65.38,130.77,320.98,59.44,17.83,594.4,SN2424_K58FM_dummy.xlsx
